,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
PKB,Austria ,Belgium ,Bulgaria ,Czech Republic ,Denmark ,Estonia ,Finland ,France ,Germany ,Greece ,Hungary ,Ireland ,Italy ,Japan ,Latvia ,Lithuania ,Netherlands ,Poland ,Portugal ,Romania ,Slovakia ,Slovenia ,Spain ,Sweden ,Switzerland ,United Kingdom ,United States ,vv_Cyprus ,vv_Luxembourg ,vv_Malta 
2005,5.268839589,5.47095674,3.733357363,4.892235405,4.861431923,2.370046357,4.697503204,7.158812271,7.487836863,5.11045841,4.617040657,4.471987704,7.114291646,7.866627728,2.741519922,3.239814448,5.970345962,5.820432272,5.022824856,4.688392886,3.929136332,3.371160025,6.565390737,5.329815131,5.253981544,7.152680076,9.006011223,2.400142199,2.932023927,1.780421062
2006,5.304858908,5.506996379,3.789037521,4.933239628,4.896110893,2.46512235,4.749371785,7.194951308,7.517955346,5.154256688,4.658424814,4.560889344,7.150571319,7.894827609,2.801061548,3.271804039,6.00899848,5.862147811,5.06133554,4.712205054,3.942727316,3.412930683,6.614655167,5.373374424,5.289176012,7.19629139,9.046896328,2.449057335,3.013083784,1.842581205
2007,5.31339607,5.515041041,3.829713385,4.963743126,4.903135195,2.537592332,4.771952451,7.213142195,7.532985682,5.195370725,4.69487435,4.607702448,7.169026222,7.89666989,2.871973264,3.336651317,6.028073947,5.87412878,5.080812669,4.767439783,3.976954744,3.441903034,6.650692233,5.385918521,5.30063093,7.227311956,9.057770748,2.488503964,3.037943461,1.826973543
2008,5.330191728,5.528546398,3.875166407,4.985008409,4.907782857,2.625667775,4.79012712,7.222388269,7.533086958,5.229184105,4.738949955,4.66477384,7.173530595,7.899288951,2.941728139,3.402794776,6.028836789,5.888460369,5.087891635,4.816963133,4.021764545,3.479457898,6.677433319,5.410449337,5.30505236,7.25354023,9.075885657,2.509567073,3.07817216,1.854686465
2009,5.338813549,5.536581623,3.928758052,5.021978268,4.911612462,2.70045374,4.810052225,7.231343015,7.529325581,5.286918504,4.77673145,4.705526384,7.173064629,7.913325326,3.01497801,3.500609883,6.03218721,5.926403523,5.078534139,4.868004991,4.068409948,3.508337196,6.707860113,5.433537754,5.303072498,7.288178983,9.101091369,2.528071075,3.093533355,1.856023635
2010,5.364379988,5.568751548,3.99406161,5.068313907,4.934318287,2.761951541,4.850472964,7.256471956,7.54086994,5.329667764,4.823588046,4.749617301,7.190222838,7.940398209,3.099845038,3.571713218,6.054305923,5.978471524,5.09399516,4.949495292,4.117750407,3.551414168,6.739933205,5.475014206,5.328084205,7.317304172,9.135297358,2.569551505,3.136576718,1.85096896
2011,5.388102811,5.585919609,4.055705136,5.133656331,4.958475614,2.846784627,4.879216163,7.274572599,7.547693201,5.352215356,4.86246652,4.801636766,7.199493037,7.959554508,3.196273688,3.646736863,6.074564005,6.014003258,5.101536122,4.990192259,4.18218146,3.590704321,6.775142531,5.506132811,5.354148005,7.337947228,9.165590096,2.60740649,3.189451992,1.886968995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapita³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.45078814,6.442185307,4.511474204,6.09128777,5.6832906,3.152874296,5.674968602,8.259729901,8.625928649,6.437672658,5.416904473,5.419868188,8.175366135,9.088805339,3.468126644,3.965895254,6.99134019,6.5521881,5.95751041,5.587613106,4.857693091,4.160825226,7.634139941,6.500895721,6.479669854,8.077764997,9.820424196,3.132570283,3.52463031,2.600497249
,6.478513817,6.465196366,4.537767405,6.125455729,5.703027114,3.229063391,5.692822086,8.283924599,8.64730249,6.465812397,5.476976973,5.473619036,8.195437857,9.105333176,3.540736888,4.00812389,7.018161217,6.618991528,6.004839791,5.615657639,4.909637039,4.231223498,7.67715937,6.517904117,6.494995178,8.101211562,9.859304867,3.168705686,3.569245917,2.654744701
,6.502655786,6.486584576,4.57725033,6.162088435,5.719590584,3.307394619,5.71103551,8.307344253,8.664105004,6.494066066,5.535535042,5.523370836,8.21550597,9.118875398,3.617562737,4.057998959,7.042231836,6.668310969,6.047695696,5.648918571,4.968650348,4.29455047,7.720312408,6.533131298,6.505943373,8.124109616,9.8931953,3.204276289,3.619672117,2.692346758
,6.52192172,6.502157631,4.619693431,6.199828939,5.734385692,3.403420326,5.724535409,8.327916853,8.675286446,6.5256977,5.598460326,5.566720954,8.23637633,9.127904612,3.699982555,4.112856297,7.060884819,6.707248892,6.083193934,5.686520441,5.021841406,4.351924127,7.762468254,6.546505105,6.51515838,8.147221167,9.921742321,3.243876372,3.678221031,2.710652746
,6.542893665,6.515473337,4.669499172,6.234767846,5.746654839,3.510022741,5.738940115,8.348414316,8.68532952,6.558211951,5.656894434,5.613429963,8.254833459,9.133734077,3.786707666,4.175408412,7.077354128,6.742820957,6.109180197,5.728150592,5.06734389,4.411382657,7.805730406,6.559981506,6.522118604,8.170224546,9.950597127,3.282089822,3.740246469,2.742870679
,6.562869729,6.532651472,4.727113036,6.270015296,5.760007393,3.608663696,5.755167875,8.369836471,8.694473375,6.588220841,5.717189957,5.664816522,8.273443017,9.138639838,3.890717784,4.247267138,7.09154791,6.780606809,6.133396039,5.775525924,5.112957977,4.470341255,7.849241528,6.575647179,6.531037927,8.193759513,9.982324699,3.32661448,3.795855123,2.771969684
,6.582293711,6.552512524,4.808591209,6.303815974,5.776810597,3.713554963,5.772896415,8.39267716,8.702831208,6.611959185,5.776938698,5.723001629,8.29132061,9.146238458,4.010995954,4.323139959,7.107099425,6.820538244,6.155277107,5.832250859,5.169875276,4.526976017,7.894790869,6.594483305,6.541278198,8.218360544,10.01606095,3.370712187,3.850294001,2.807978055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.804331716,8.75908344,8.619686781,9.228571667,8.35182621,7.051249379,8.285185469,10.53854935,10.96379204,9.103093077,9.05804838,8.057693878,10.64991871,11.68584462,7.607727118,7.833026366,9.341807135,10.33852447,9.206087742,9.907636932,8.225553431,7.353651835,10.20543888,8.852004049,8.830543011,10.75382524,12.44301653,6.381650183,6.014934461,5.647871518
,8.813900315,8.755959509,8.57793263,9.225956601,8.366520058,7.035507127,8.297767719,10.53990291,10.96685256,9.107646852,9.064811352,8.094840487,10.66150496,11.68559223,7.640392367,7.856793123,9.362632182,10.3162317,9.200471737,9.901473726,8.209455068,7.354991051,10.25418488,8.862476496,8.837536046,10.75898519,12.45625532,6.406813977,6.064066564,5.659095381
,8.813677758,8.789996472,8.577403045,9.185221929,8.378890434,7.039529754,8.3009756,10.54907601,10.95738138,9.109101573,9.042225225,8.120721025,10.67162838,11.67099702,7.648544822,7.809867164,9.375091808,10.29477175,9.208634418,9.890525912,8.200985436,7.352221845,10.28934257,8.868652558,8.830543011,10.76896172,12.44396293,6.440922617,6.108716331,5.502596091
,8.811325168,8.790455395,8.579333088,9.179886731,8.374526254,7.054733728,8.306422776,10.52930592,10.94349921,9.125603606,9.044853867,8.126265994,10.68199434,11.64955206,7.657287991,7.829412386,9.369308003,10.2616134,9.209345978,9.791223149,8.171860819,7.382214592,10.31233091,8.854607841,8.824677891,10.76544272,12.43086284,6.44735499,6.134579557,5.655960342
,8.812875576,8.787526236,8.601941426,9.167277744,8.361245097,7.070056935,8.302736797,10.5285533,10.93103339,9.134397656,9.032328754,8.135432208,10.6939255,11.64642436,7.670190154,7.84234005,9.359105145,10.2526452,9.200106787,9.774492199,8.150185043,7.381082753,10.3354073,8.840449915,8.829079953,10.76365812,12.4256659,6.480686994,6.136864911,5.62937497
,8.822227096,8.780211857,8.641567435,9.174877222,8.357185694,7.075429248,8.309307642,10.54869056,10.9342135,9.14846699,9.024585568,8.162669076,10.69857938,11.64184625,7.665693449,7.855064718,9.349145335,10.26408768,9.202419484,9.76257182,8.176383441,7.392565621,10.36227931,8.848427448,8.849944227,10.77125874,12.43683113,6.498105929,6.157711768,5.659558868
,8.824006784,8.80444127,8.665167753,9.191046027,8.36758259,7.102248295,8.318595901,10.55181222,10.92908102,9.184184059,9.022104762,8.214841646,10.70030872,11.63938189,7.697913465,7.913098104,9.349754428,10.28278608,9.199053312,9.750995072,8.21044817,7.364669236,10.39190777,8.850798465,8.854236693,10.78381124,12.45210035,6.517486618,6.173865267,5.667222219
