y;x1;x2;x3
4,40205;6,698626;1,546881;2,392842
4,404832;6,695847;1,56283;2,442439
4,407608;6,70879;1,575416;2,481935
4,410376;6,733425;1,588988;2,524884
4,413138;6,707288;1,604789;2,575348
4,39151;6,621396;2,133299;4,550963
4,393986;6,661124;2,145911;4,604936
4,396455;6,58205;2,158539;4,659291
4,398916;6,676451;2,165105;4,687681
4,401368;6,710238;2,17149;4,715367
4,325155;4,484866;2,061933;4,251567
4,326225;3,456812;2,07175;4,292146
4,328573;4,939168;2,0813;4,331809
4,33317;4,999345;2,090585;4,370548
4,339697;5,029738;2,099615;4,408385
4,505665;7,313607;2,343823;5,493506
4,508295;7,33788;2,344753;5,497868
4,510921;7,364154;2,345645;5,502049
4,513079;7,380574;2,346516;5,506137
4,514477;7,383567;2,347367;5,510133
4,502895;7,475946;2,018348;4,073728
4,505922;7,496208;2,028267;4,113866
4,508822;7,514135;2,037957;4,153267
4,512045;7,540308;2,047422;4,191936
4,516014;7,586332;2,056664;4,229867
4,092309;3,309616;0,671566;0,451001
4,090077;3,452527;0,696217;0,484719
4,087842;3,333657;0,72119;0,520115
4,085603;3,321472;0,746731;0,557607
4,083361;3,255204;0,77405;0,599153
4,508318;7,447914;2,201348;4,845934
4,509865;7,456951;2,206692;4,869489
4,511411;7,451335;2,211882;4,892423
4,512956;7,463541;2,216924;4,914751
4,51471;7,465415;2,221819;4,936478
4,150563;3,160034;0,396989;0,1576
4,153379;3,644486;0,441283;0,19473
4,156189;3,630005;0,472189;0,222962
4,158996;3,689562;0,504653;0,254674
4,161796;3,651123;0,535464;0,286721
4,091064;3,505455;0,430294;0,185153
4,089165;3,567686;0,48035;0,230736
4,087263;3,558255;0,527789;0,278561
4,085359;3,54483;0,577158;0,333112
4,083452;3,616524;0,625184;0,390855
4,189259;3,953478;0,821488;0,674842
4,196126;3,999268;0,836316;0,699425
4,202963;4,013989;0,851155;0,724464
4,209769;4,093261;0,876593;0,768415
4,216547;4,242206;0,901831;0,813299
4,356574;5,487499;2,231304;4,978717
4,355264;5,392085;2,235786;4,998739
4,354165;5,424457;2,240135;5,018205
4,353098;5,165386;2,244354;5,037125
4,352054;5,256203;2,248448;5,055517
4,377398;6,352452;1,587846;2,521256
4,379773;6,339975;1,602697;2,568638
4,38214;6,281171;1,617551;2,616471
4,384502;6,27479;1,63555;2,675024
4,386859;6,294317;1,65326;2,733267
4,352228;6,922378;2,125624;4,518275
4,355314;6,948686;2,124445;4,513266
4,358393;6,944222;2,124203;4,51224
4,361464;7,039538;2,128232;4,52937
4,364526;7,109741;2,130634;4,539599
4,406545;5,77448;2,192202;4,80575
4,401321;5,416687;2,198254;4,832321
4,396791;5,226134;2,20412;4,858143
4,393498;5,397112;2,185528;4,776531
4,392054;5,529842;2,181116;4,757265
4,233976;4,90674;1,64941;2,720554
4,240201;4,964473;1,668861;2,785097
4,246397;4,932494;1,688347;2,850516
4,252568;5,179804;1,704697;2,905992
4,258711;5,038834;1,720777;2,961074
4,222859;6,012771;1,363762;1,859848
4,225716;5,980709;1,372474;1,883686
4,228532;6,097861;1,381189;1,907683
4,231307;6,068352;1,40252;1,967061
4,234043;6,056191;1,423581;2,026581
4,432955;6,441522;2,09722;4,398332
4,434981;6,469221;2,105427;4,432824
4,437005;6,460924;2,113421;4,46655
4,439026;6,565949;2,121206;4,499514
4,441044;6,704666;2,128785;4,531726
4,1039;5,206849;1,387753;1,925859
4,090745;5,289236;1,408929;1,98508
4,077478;5,337774;1,430137;2,045291
4,064095;5,334644;1,450766;2,104721
4,050582;5,378094;1,471123;2,164201
3,867446;3,094835;0,712915;0,508249
3,857537;3,343395;0,747631;0,558952
3,847519;3,469333;0,782512;0,612326
3,83739;3,445074;0,808256;0,653277
3,827145;3,510936;0,833804;0,69523
4,507994;7,568932;2,341277;5,481577
4,510656;7,509763;2,342315;5,486441
4,513315;7,529959;2,343314;5,491122
4,515968;7,519069;2,344284;5,495665
4,518617;7,521838;2,345213;5,500026
4,512093;7,823838;2,225066;4,950917
4,514522;7,841709;2,229658;4,971377
4,517276;7,86076;2,23412;4,991292
4,520888;7,875552;2,238453;5,010671
4,52449;7,880971;2,242661;5,029528
4,440415;6,02928;1,938074;3,75613
4,443069;6,068905;1,949395;3,800143
4,445716;6,154765;1,960757;3,844566
4,448358;6,29842;1,972222;3,889661
4,450994;6,36917;1,98343;3,933996
4,205033;3,884062;1,826988;3,337886
4,206105;3,951759;1,84067;3,388067
4,207164;4,082178;1,845327;3,405232
4,208213;4,202721;1,85591;3,444403
4,209251;4,315246;1,876479;3,521173
4,122435;4,123057;0,767187;0,588576
4,116202;4,001496;0,801252;0,642005
4,109942;4,009629;0,830942;0,690465
4,103653;4,019826;0,863299;0,745285
4,097335;4,054976;0,896818;0,804283
4,058076;3,892653;1,198503;1,436409
4,063315;3,874765;1,22528;1,501312
4,068524;4,150482;1,252094;1,56774
4,073706;4,11783;1,274407;1,624113
4,07886;4,468335;1,296474;1,680844
4,106024;4,77686;1,636271;2,677382
4,103099;4,574425;1,650793;2,725117
4,100163;4,684563;1,668733;2,784669
4,097215;4,619339;1,687054;2,846152
4,094256;4,613733;1,700636;2,892163
4,417619;5,462424;1,599511;2,558435
4,420267;5,727164;1,616501;2,613075
4,422918;5,906468;1,633506;2,668342
4,425571;6,095004;1,651171;2,726365
4,428227;6,231961;1,66855;2,784059
4,166403;4,079796;1,031058;1,06308
4,173879;3,999121;1,042483;1,08677
4,181306;3,935677;1,050797;1,104175
4,188683;3,884903;1,054417;1,111794
4,19601;3,859873;1,068706;1,142133
4,199469;3,555974;1,089696;1,187437
4,20574;4,232751;1,132514;1,282589
4,211822;4,159517;1,167059;1,362026
4,217722;4,142932;1,206713;1,456156
4,223446;4,111269;1,247814;1,557039
4,408889;6,265788;1,745414;3,046469
4,410695;6,142667;1,756006;3,083558
4,412496;6,10875;1,766626;3,120968
4,414293;6,172723;1,782071;3,175777
4,416085;6,191579;1,797231;3,23004
4,474282;6,317011;2,036997;4,149357
4,476695;6,39211;2,046572;4,188458
4,479105;6,445793;2,05592;4,226805
4,481511;6,586516;2,065041;4,264394
4,483914;6,602242;2,07394;4,301228
4,455069;6,459104;2,319423;5,379721
4,459699;6,461228;2,321112;5,387563
4,464425;6,51128;2,32276;5,395215
4,46894;6,463586;2,324356;5,402633
4,473201;6,461774;2,325891;5,409771
4,501304;7,633345;2,210216;4,885057
4,503685;7,663943;2,215253;4,907347
4,507158;7,727385;2,220148;4,929055
4,510627;7,751776;2,224902;4,950191
4,513977;7,766091;2,229522;4,970767
4,505281;7,49135;2,371598;5,624477
4,506573;7,486742;2,372018;5,626469
4,507394;7,488092;2,372419;5,628372
4,508214;7,528601;2,37282;5,630274
4,509369;7,57135;2,373193;5,632043
4,345822;5,188854;1,537946;2,365279
4,349026;5,193379;1,553481;2,413304
4,35221;5,161105;1,569093;2,462052
4,355377;5,234509;1,587828;2,521198
4,358525;5,31573;1,606277;2,580126
4,289006;5,222338;1,82412;3,327414
4,292734;5,243005;1,839969;3,385484
4,296424;5,223583;1,855828;3,444096
4,300076;5,178435;1,86955;3,495219
4,303692;5,235958;1,882995;3,545669
4,271781;4,56454;1,187801;1,410871
4,278309;4,612454;1,20281;1,446752
4,284795;4,638673;1,219581;1,487379
4,291241;4,697321;1,237522;1,53146
4,297645;4,760489;1,255197;1,57552
4,499185;6,951217;1,960333;3,842905
4,501612;7,010402;1,971833;3,888124
4,504036;7,022779;1,983074;3,932582
4,506886;7,094102;1,994057;3,976262
4,510374;7,102425;2,004787;4,01917
4,386142;5,621849;2,154152;4,640372
4,38563;5,718704;2,161353;4,671448
4,387078;5,805921;2,16834;4,7017
4,392258;5,823865;2,171227;4,714228
4,403625;5,850529;2,16863;4,702954
3,93825;2,786855;0,583444;0,340407
3,933673;2,847174;0,617691;0,381542
3,929075;2,877849;0,649806;0,422248
3,924453;2,9268;0,679555;0,461795
3,919813;2,98653;0,704937;0,496937
4,495282;7,293378;2,271198;5,158339
4,498677;7,261;2,274478;5,173249
4,502717;7,281351;2,277657;5,187721
4,506059;7,323065;2,280737;5,201762
4,50842;7,342468;2,283721;5,215383
4,339688;5,279012;2,101662;4,416981
4,34225;5,300779;2,115597;4,475753
4,344814;5,276;2,129536;4,534922
4,34738;5,32419;2,136807;4,565943
4,349948;5,365999;2,143887;4,596252
4,511452;7,5681;1,945797;3,786127
4,514037;7,580996;1,957597;3,832187
4,516542;7,618772;1,969135;3,877495
4,51897;7,629679;1,980415;3,922044
4,520973;7,658468;1,991438;3,965825
4,506755;7,040466;2,18842;4,789184
4,509629;7,079184;2,194155;4,814318
4,512267;7,102754;2,199728;4,838804
4,514902;7,07271;2,205141;4,862647
4,517542;7,085282;2,210399;4,885862
4,34954;5,048259;2,334588;5,450299
4,349472;4,296328;2,335942;5,456627
4,349404;4,389643;2,337247;5,462725
4,349337;4,510202;2,340853;5,479595
4,349268;4,547289;2,344303;5,495755
4,167164;4,038418;1,366252;1,866645
4,172179;4,044547;1,390177;1,932592
4,177177;4,058702;1,414141;1,999793
4,18216;4,102681;1,43218;2,05114
4,187127;3,813654;1,449992;2,102477
4,046132;4,267115;0,695888;0,484261
4,05922;4,06894;0,722895;0,522578
4,072029;4,086684;0,756699;0,572594
4,084564;4,077139;0,790179;0,624382
4,096821;3,955579;0,82375;0,678564
3,941755;3,524786;0,485951;0,236148
3,946299;3,559536;0,539699;0,291275
3,950822;4,078918;0,542388;0,294185
3,955322;4,130048;0,538287;0,289753
3,959803;3,989045;0,525119;0,27575
4,066956;3,99977;1,443348;2,083253
4,074734;3,580191;1,47007;2,161106
4,082439;3,688164;1,489821;2,219566
4,090075;4,242391;1,511483;2,284582
4,097644;4,487519;1,533146;2,350538
4,500233;6,549887;2,106716;4,438253
4,501773;6,643304;2,114202;4,469848
4,50299;6,703664;2,121512;4,500811
4,504207;6,846924;2,128647;4,531138
4,505571;6,873689;2,135613;4,560842
4,25579;4,692192;1,171082;1,371433
4,261041;4,640759;1,190979;1,41843
4,266278;4,557703;1,210958;1,46642
4,2715;4,355874;1,233956;1,522647
4,276711;4,458416;1,256707;1,579312
4,250321;4,310749;1,76463;3,113918
4,253533;4,405633;1,773638;3,145792
4,256699;4,449596;1,782683;3,17796
4,259818;4,803357;1,797834;3,232208
4,262894;4,858494;1,812699;3,285877
4,197554;5,058454;1,477261;2,1823
4,202053;4,932176;1,490947;2,222923
4,2064;5,000147;1,504646;2,26396
4,210603;5,021668;1,523714;2,321706
4,214667;5,054946;1,542511;2,379342
4,436568;5,709552;2,152646;4,633883
4,437681;5,738023;2,141632;4,586588
4,438793;5,928141;2,130869;4,540601
4,439925;6,001759;2,121851;4,50225
4,441395;6,018875;2,111567;4,458717
4,134922;4,070113;1,155402;1,334954
4,136264;3,939175;1,181126;1,395058
4,137605;4,088062;1,206881;1,456561
4,138945;4,030982;1,228862;1,510103
4,140285;3,99986;1,250603;1,564009
4,407464;5,842921;2,207424;4,872719
4,409609;5,945415;2,212563;4,895435
4,412888;5,946138;2,217555;4,917552
4,417488;5,927944;2,222405;4,939083
4,423239;5,921552;2,227115;4,960039
4,275977;3,87662;1,607211;2,583129
4,282701;3,932751;1,634374;2,67118
4,289323;4,049623;1,661592;2,760888
4,295848;4,054647;1,678492;2,817335
4,302276;4,029438;1,695113;2,873407
4,225756;4,267251;1,506124;2,26841
4,231946;4,326719;1,539921;2,371356
4,238117;4,349142;1,573736;2,476645
4,244266;4,401441;1,590596;2,529994
4,250398;4,435257;1,607213;2,583135
0;6,921806;2,107656;4,442214
4,499857;6,952719;2,115591;4,475727
4,501299;7,020736;2,12332;4,508486
4,502739;6,918715;2,130843;4,54049
4,502383;7,096092;2,138166;4,571752
4,260093;5,143959;1,444684;2,087111
4,265511;5,246914;1,472642;2,168674
4,270842;5,21625;1,500631;2,251895
4,27609;5,172697;1,519581;2,309127
4,281256;5,299836;1,538266;2,366263
4,260393;4,84436;1,477348;2,182556
4,253598;4,747954;1,505217;2,265677
4,246714;4,669337;1,533086;2,350352
4,23974;4,607547;1,551506;2,40717
4,232675;4,690751;1,569661;2,463836
4,507256;7,409815;2,120747;4,497566
4,508519;7,413023;2,128317;4,529735
4,509783;7,427994;2,13569;4,56117
4,510364;7,459362;2,142865;4,591869
4,510945;7,475685;2,149846;4,62184
4,495585;7,078544;2,251462;5,069083
4,498031;7,206971;2,255335;5,086537
4,500474;7,236498;2,259092;5,103496
4,502913;7,358633;2,262733;5,119963
4,505349;7,507169;2,266265;5,135959
4,503853;7,332127;1,910252;3,649062
4,506418;7,327958;1,922783;3,697096
4,508979;7,278532;1,935049;3,744413
4,511536;7,507833;1,947048;3,790996
4,514088;7,509642;1,958785;3,836841
4,348417;5,209574;1,575532;2,4823
4,350171;5,210791;1,582126;2,503124
4,351917;5,141927;1,588772;2,524196
4,353652;5,27836;1,598165;2,55413
4,355378;5,353653;1,616455;2,612928
4,329377;4,832035;1,824081;3,327273
4,332343;4,901341;1,838218;3,379047
4,335304;4,927029;1,852081;3,430205
4,338265;5,135363;1,865674;3,48074
4,341224;5,184191;1,878996;3,530627
4,529099;7,338908;2,211172;4,889283
4,531269;7,371797;2,216255;4,911784
4,533325;7,424815;2,221188;4,933678
4,535375;7,457586;2,225978;4,954979
4,537397;7,469152;2,230627;4,975697
4,392697;4,800885;1,932477;3,734469
4,384065;4,822521;1,945592;3,785326
4,377686;4,863357;1,958391;3,835293
4,373826;4,847614;1,952701;3,813042
4,370005;4,850646;1,947035;3,790946
4,193521;3,983804;1,386954;1,923642
4,18665;3,982681;1,411887;1,993424
4,179782;4,022972;1,436859;2,064564
4,172914;4,060286;1,456625;2,121755
4,166043;4,055928;1,476133;2,178968
4,435819;6,431181;2,348915;5,517402
4,439777;6,454906;2,355585;5,548783
4,443737;6,528468;2,362315;5,580533
4,447697;6,696805;2,363765;5,587384
4,451658;6,755832;2,365165;5,594008
